page,xmin,ymin,xmax,ymax,text,is_upper,is_bold,span_font,font_size
1,491.29681396484375,484.6499328613281,805.6132202148438,494.6129455566406,Assistant Dean of Men; William R. I he came to Bucknell. Dr. Chu di,False,False,TimesNewRomanPSMT,9.0
1,652.7868041992188,421.2999572753906,682.1268920898438,431.2629699707031,burgh.,False,False,TimesNewRomanPSMT,9.0
1,811.429931640625,421.2999572753906,817.531982421875,431.2629699707031,I j,False,False,TimesNewRomanPSMT,9.0
1,662.1367797851562,432.3500061035156,818.7368774414062,442.3130187988281,Dr. Chu came to the United States j,False,False,TimesNewRomanPSMT,9.0
1,653.2868041992188,442.4490051269531,818.7159423828125,452.4120178222656,"in 1941, did his undergraduate study | i",False,False,TimesNewRomanPSMT,9.0
1,653.48681640625,452.4989318847656,818.7263793945312,462.4619445800781,"at Dartmouth College, and received j j",False,False,TimesNewRomanPSMT,9.0
1,653.48681640625,462.8479309082031,811.220947265625,472.8109436035156,his M. A. and his Ph. D. from C o-,False,False,TimesNewRomanPSMT,9.0
1,811.220947265625,461.1544494628906,817.2750854492188,473.491943359375,1j,False,False,HelveticaLTMM_1_1000,5.751086711883545
1,748.5368041992188,472.1980285644531,815.577880859375,482.1610412597656,"In June, 1958, |",False,False,TimesNewRomanPSMT,9.0
1,816.1049194335938,470.5045471191406,816.80419921875,482.842041015625,j,False,False,HelveticaLTMM_1_1000,5.751086711883545
1,328.79681396484375,487.2970275878906,483.696044921875,497.2600402832031,aminations involving about 50 stu,False,False,TimesNewRomanPSMT,9.0
1,487.8900146484375,487.3309631347656,488.90594482421875,497.2939758300781,-,False,False,TimesNewRomanPSMT,5.239979267120361
1,488.8900146484375,487.3309631347656,527.4469604492188,497.2939758300781,-------------,False,False,TimesNewRomanPSMT,9.225768089294434
1,527.4469604492188,487.3309631347656,555.8721923828125,497.2939758300781,---------,False,False,TimesNewRomanPSMT,9.134445190429688
1,556.5399780273438,487.3309631347656,566.18798828125,497.2939758300781,--,False,False,TimesNewRomanPSMT,9.0
1,569.25,487.3309631347656,590.2523193359375,497.2939758300781,-------,False,False,TimesNewRomanPSMT,9.467126846313477
1,590.2523193359375,487.3309631347656,596.0509643554688,497.2939758300781,",",False,False,TimesNewRomanPSMT,9.0
1,612.5029296875,487.3309631347656,616.9489135742188,497.2939758300781,-,False,False,TimesNewRomanPSMT,9.0
